code,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2015,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2016,70,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2017,745,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2018,159,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2019,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2020,183,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2021,687,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2022,79,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2023,22,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",CZ,Czechia,2024,2625,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",DK,Denmark,1980,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",DK,Denmark,1981,850,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",DK,Denmark,1982,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",DK,Denmark,1983,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",DK,Denmark,1984,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",DK,Denmark,1985,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",DK,Denmark,1986,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",DK,Denmark,1987,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",DK,Denmark,1988,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",DK,Denmark,1989,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",DK,Denmark,1990,314,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",DK,Denmark,1991,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",DK,Denmark,1992,1126,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",DK,Denmark,1993,10,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",DK,Denmark,1994,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",DK,Denmark,1995,5,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",DK,Denmark,1996,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",DK,Denmark,1997,0,
